,raceId,driverId,constructorId,grid,position,statusId,constructorForm,driverPerformance
122,24,10,7,11,4,1,1.5268514086339717,0.6322499482526539
123,24,15,7,14,6,1,1.5268514086339717,0.8635887666005456
124,24,13,6,6,5,1,5.000164300340007,0.7644970099624068
125,24,8,6,3,\N,4,5.000164300340007,0.7004120688290859
126,24,22,11,9,7,1,0.9797621139807148,0.7446823982906241
127,24,18,11,20,11,1,0.9797621139807148,0.7179239543570244
128,24,20,5,19,8,1,0.8505550881170205,0.7474624630394476
129,24,7,5,18,13,11,0.8505550881170205,0.7153585374263345
130,24,5,1,7,9,1,2.273518167203879,0.6707303772443399
131,24,1,1,1,\N,4,2.273518167203879,0.8030552913948704
132,24,3,3,5,10,1,1.3043673819053694,0.8665417072371514
133,24,6,3,12,\N,3,1.3043673819053694,0.6305444438417357
134,24,21,10,17,\N,20,0.7333619496011154,0.8121589582764177
135,24,16,10,16,\N,6,0.7333619496011154,0.6644109372145623
136,24,4,4,4,\N,20,1.1276580727581926,0.979154629573271
137,24,12,4,15,\N,23,1.1276580727581926,0.5645797772600635
138,25,13,6,2,1,1,5.000164300340007,0.760184216282552
139,25,8,6,1,2,1,5.000164300340007,0.704076110794661
140,25,15,7,4,3,1,1.5268514086339717,0.8803456935623154
141,25,10,7,8,11,1,1.5268514086339717,0.6227120075467963
142,25,5,1,10,4,1,2.273518167203879,0.6833979618825686
143,25,1,1,13,10,1,2.273518167203879,0.7857778222528913
144,25,9,2,5,5,1,3.0562390832933315,0.8902322936270205
145,25,2,2,11,13,1,3.0562390832933315,0.6172179873911197
146,25,17,9,6,6,1,1.8268815547508408,0.8598783402736749
147,25,14,9,7,9,1,1.8268815547508408,0.6344099840668304
148,25,12,4,9,7,1,1.1276580727581926,0.5710738705286483
149,25,4,4,3,8,1,1.1276580727581926,0.9705064590153983
150,25,20,5,12,12,1,0.8505550881170205,0.760184216282552
151,25,7,5,14,17,11,0.8505550881170205,0.704076110794661
152,25,22,11,20,14,11,0.9797621139807148,0.7551970408742978
153,25,18,11,16,\N,4,0.9797621139807148,0.7084123176436116
154,25,6,3,15,15,11,1.3043673819053694,0.6406267561800327
155,25,3,3,19,16,11,1.3043673819053694,0.8493929746525843
156,25,21,10,17,18,11,0.7333619496011154,0.8068431029805595
157,25,16,10,18,19,11,0.7333619496011154,0.6680732318825002
158,26,1,1,4,1,1,2.273518167203879,0.7817333481852516
159,26,5,1,1,5,11,2.273518167203879,0.6865037407063285
160,26,2,2,5,2,1,3.0562390832933315,0.6504280601084498
161,26,9,2,10,\N,20,3.0562390832933315,0.833482181177255
162,26,22,11,16,3,1,0.9797621139807148,0.7817333481852516
163,26,18,11,17,\N,20,0.9797621139807148,0.6865037407063285
164,26,8,6,3,4,11,5.000164300340007,0.7373577049192391
165,26,13,6,9,13,12,5.000164300340007,0.724866149113898
166,26,4,4,6,6,11,1.1276580727581926,0.96819790960939
167,26,12,4,7,\N,20,1.1276580727581926,0.5726688119862449
168,26,15,7,14,7,11,1.8268815547508408,0.8707804762231349
169,26,10,7,12,12,11,1.8268815547508408,0.6281159671478849
